controller,minute,zone_c,setpoint_c,outdoor_c,internal_load_w,command_pct,kp,ki,inference_us,fallback_active
Bayesian Auto-tune,104.0,25.207026698100805,24.5,34.76323598150618,1650.0,80.56285465706587,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,105.0,25.162369176735393,24.5,34.78036128806451,1650.0,76.18024813173015,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,106.0,25.1122176656883,24.5,34.797471737668786,1650.0,70.52868649739037,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,107.0,25.05715457655802,24.5,34.81456700456071,1650.0,67.35789969664144,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,108.0,24.996223750877764,24.5,34.83164676327104,1650.0,67.69323688712099,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,109.0,24.93137154045188,24.5,34.848710688625786,1650.0,57.318136997485695,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,110.0,24.86511457864742,24.5,34.86575845575241,1650.0,54.72454664677257,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,111.0,24.797533611854927,24.5,34.882789740086004,1650.0,51.81662428559963,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,112.0,24.728839519379314,24.5,34.89980421737546,1650.0,42.533336970196025,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,113.0,24.66064087497397,24.5,34.91680156368965,1650.0,35.96924718291568,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,114.0,24.594664924833136,24.5,34.93378145542362,1650.0,29.3428871195612,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,115.0,24.53157276872906,24.5,34.95074356930469,1650.0,22.83794456349229,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,116.0,24.470822729973282,24.5,34.967687582398675,1650.0,20.907821936673216,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,117.0,24.41528611073793,24.5,34.98461317211597,1650.0,14.773611046183715,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,118.0,24.3649261009195,24.5,35.00152001621777,1650.0,13.40148234858853,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,119.0,24.319805518599434,24.5,35.01840779282211,1650.0,3.642428986017052,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,120.0,24.28194991385857,23.8,35.03527618041008,1650.0,63.98082996534189,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,121.0,24.252189785532323,23.8,35.0521248578319,1650.0,56.269958432821674,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,122.0,24.231226707956118,23.8,35.06895350431303,1650.0,55.645651099250514,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,123.0,24.219597794854415,23.8,35.0857617994603,1650.0,56.46875163334397,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,124.0,24.216321877329975,23.8,35.102549423267995,1650.0,55.02034643202014,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,125.0,24.221882679958128,23.8,35.11931605612397,1650.0,55.482148866118266,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,126.0,24.23519706971394,23.8,35.13606137881569,1650.0,57.85758181613302,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,127.0,24.257962226628788,23.8,35.15278507253636,1650.0,56.47226084897594,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,128.0,24.26983357774236,23.8,35.169486818890945,1650.0,60.81733763841204,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,129.0,24.275056776365776,23.8,35.18616629990228,1650.0,62.834604548386565,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,130.0,24.274959880843653,23.8,35.20282319801709,1650.0,63.29456685671468,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,131.0,24.270199544219548,23.8,35.219457196112046,1650.0,62.606242061424,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,132.0,24.26202870254594,23.8,35.236067977499786,1650.0,63.25552227545458,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,133.0,24.25089661451818,23.8,35.252655225935,1650.0,64.61574533629121,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,134.0,24.23658460804721,23.8,35.26921862562037,1650.0,65.91880908869116,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,135.0,24.22008047189245,23.8,35.285757861212645,1650.0,62.09583642620278,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,136.0,24.200427555398203,23.8,35.30227261782863,1650.0,58.55181245225097,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,137.0,24.177557092954405,23.8,35.318762581051146,1650.0,58.90756947503378,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,138.0,24.15189770311342,23.8,35.335227436935085,1650.0,56.13336236329253,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,139.0,24.124163273860265,23.8,35.35166687201331,1650.0,53.50794388738738,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,140.0,24.094532567652752,23.8,35.36808057330268,1650.0,48.65539654287513,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,141.0,24.06293480429937,23.8,35.38446822830997,1650.0,45.98912438647801,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,142.0,24.02933057659798,23.8,35.40082952503787,1650.0,46.159021455171526,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,143.0,23.995278913057582,23.8,35.41716415199086,1650.0,41.21610456463418,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,144.0,23.961986565218734,23.8,35.4334717981812,1650.0,40.37550762391247,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,145.0,23.929243969868114,23.8,35.4497521531348,1650.0,35.61521971767573,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,146.0,23.897847804330766,23.8,35.46600490689719,1650.0,34.91776151682088,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,147.0,23.86841152451543,23.8,35.482229750039345,1650.0,33.88978555293724,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,148.0,23.84213316496144,23.8,35.49842637366365,1650.0,26.69957083451221,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,149.0,23.819325550277185,23.8,35.51459446940973,1650.0,30.793379275651084,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,150.0,23.799365530219116,23.8,35.53073372946036,1650.0,26.586809461707993,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,151.0,23.783320035338324,23.8,35.54684384654728,1650.0,24.465414075824803,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,152.0,23.770798194025136,23.8,35.56292451395709,1650.0,20.86448440379049,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,153.0,23.762688919525644,23.8,35.57897542553707,1650.0,24.39774197908592,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,154.0,23.75846555923631,23.8,35.594996275700986,1650.0,18.59741992646437,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,155.0,23.75779075557579,23.8,35.61098675943495,1650.0,23.84147738414341,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,156.0,23.762293432315385,23.8,35.626946572303204,1650.0,22.979885596701063,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,157.0,23.769819991405118,23.8,35.64287541045391,1650.0,19.289892906299517,0.8710247817983165,0.007042443140113135,0.0,0
Bayesian Auto-tune,158.0,23.781156787440896,23.8,35.65877297062496,1650.0,22.906272528598507,0.8710247817983165,0.007042443140113135,0.0,0
