error_c,error_rate_c_per_min,applied_command,integral_state,outdoor_delta_c,load_fraction,fnn_kp,fnn_ki,rl_error_bin,rl_error_rate_bin,rl_command_bin,rl_action,rl_covered,rl_kp,rl_ki
0.0,0.05,0.0,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,3,0,4,1,0.5174862694351612,0.004053625945382633
0.0,0.05,0.35,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,3,1,4,1,0.5174862694351612,0.004053625945382633
0.0,0.05,0.9,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,3,2,4,0,0.5174862694351612,0.004053625945382633
0.0,0.3,0.0,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,4,0,4,1,0.5174862694351612,0.004053625945382633
0.0,0.3,0.35,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,4,1,4,1,0.5174862694351612,0.004053625945382633
0.0,0.3,0.9,0.0,10.0,0.2,0.5174862694351612,0.004864351134459159,2,4,2,4,0,0.5174862694351612,0.004053625945382633
1.5,-0.3,0.0,7.5,10.0,0.2,0.5278359948238645,0.004864351134459159,3,0,0,4,0,0.5174862694351612,0.004053625945382633
1.5,-0.3,0.35,7.5,10.0,0.2,0.5278359948238645,0.004864351134459159,3,0,1,2,1,0.3881147020763709,0.005269713728997424
1.5,-0.3,0.9,7.5,10.0,0.2,0.5278359948238645,0.004864351134459159,3,0,2,2,1,0.3881147020763709,0.005269713728997424
1.5,-0.05,0.0,7.5,10.0,0.2,0.5278359948238645,0.004864351134459159,3,1,0,4,0,0.5174862694351612,0.004053625945382633
1.5,-0.05,0.35,7.5,10.0,0.2,0.5278359948238645,0.004864351134459159,3,1,1,2,1,0.3881147020763709,0.005269713728997424
1.5,-0.05,0.9,7.5,10.0,0.2,0.5278359948238645,0.004864351134459159,3,1,2,2,1,0.3881147020763709,0.005269713728997424
1.5,0.0,0.0,7.5,10.0,0.2,0.5278359948238645,0.004864351134459159,3,2,0,2,1,0.3881147020763709,0.005269713728997424
1.5,0.0,0.35,7.5,10.0,0.2,0.5278359948238645,0.004864351134459159,3,2,1,2,1,0.3881147020763709,0.005269713728997424
1.5,0.0,0.9,7.5,10.0,0.2,0.5278359948238645,0.004864351134459159,3,2,2,2,1,0.3881147020763709,0.005269713728997424
1.5,0.05,0.0,7.5,10.0,0.2,0.5278359948238645,0.004864351134459159,3,3,0,4,0,0.5174862694351612,0.004053625945382633
