episode,environment_steps,epsilon,episode_reward,moving_average_reward_20,mean_abs_td_error,visited_states,state_coverage_pct,visited_full_states,full_state_coverage_pct,greedy_policy_changes,mean_kp,mean_ki,final_kp,final_ki,validation_baseline_objective,validation_learned_objective,deployment_accepted,checkpoint_validation_objective,best_checkpoint_validation_objective,fit_scenarios,validation_scenarios,selected_policy_family
38.0,9120.0,0.23766666666666666,-115.54451713132835,-115.51066309705975,2.4104656107746862,24.0,96.0,38.0,50.66666666666667,5.0,0.4838785656455616,0.003890529154469266,0.497095245649201,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
39.0,9360.0,0.23733333333333334,-401.1016132507169,-131.44746350147204,7.799138810045097,24.0,96.0,38.0,50.66666666666667,8.0,0.4866911197320425,0.003674956402686622,0.5174862694351612,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
40.0,9600.0,0.237,-48.528040817320715,-129.85543681566242,1.0222756187993498,24.0,96.0,38.0,50.66666666666667,2.0,0.49202554916294855,0.00362835018465126,0.5174862694351612,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
41.0,9840.0,0.23666666666666666,-20.771302444507434,-120.37436449513385,0.4483432729763464,24.0,96.0,38.0,50.66666666666667,0.0,0.5161980388023033,0.003666015593312859,0.5071882926734016,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
42.0,10080.0,0.23633333333333334,-55.724055101057544,-121.27023058240414,1.386186345239648,25.0,100.0,39.0,52.0,4.0,0.506172386495671,0.0036697865875237293,0.5174862694351612,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
43.0,10320.0,0.236,-12.311825901155618,-117.47457574268829,0.42317341658765645,25.0,100.0,39.0,52.0,0.0,0.5268473804299644,0.0039045993700825322,0.4191638782424806,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
44.0,10560.0,0.23566666666666666,-95.7483708165322,-114.66727149641979,2.177222005792292,25.0,100.0,40.0,53.333333333333336,5.0,0.49072022146771976,0.0041342121873721265,0.5165806684636498,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
45.0,10800.0,0.23533333333333334,-170.5796253353589,-113.08910209934729,3.5085803070007464,25.0,100.0,40.0,53.333333333333336,8.0,0.4914867420747903,0.003965618179185674,0.6727321502657095,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
46.0,11040.0,0.235,-69.27142894564565,-114.73646258481202,1.495427417132393,25.0,100.0,40.0,53.333333333333336,0.0,0.47040570523442565,0.003590399807082215,0.5468047702141212,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
47.0,11280.0,0.23466666666666666,-88.31245745753037,-112.30533178215808,2.374900132886546,25.0,100.0,40.0,53.333333333333336,4.0,0.5385268191308731,0.003627206711091288,0.5174862694351612,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
48.0,11520.0,0.23433333333333334,-32.06123560041046,-109.5120487939424,0.8295544564910736,25.0,100.0,40.0,53.333333333333336,1.0,0.5961248844638414,0.0037190682104672403,0.5994043458867473,0.003611780717335927,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
49.0,11760.0,0.23399999999999999,-19.792504652609395,-106.34684398921323,0.5865210528118283,25.0,100.0,40.0,53.333333333333336,2.0,0.5180313618098996,0.003683492907206614,0.6054589352391386,0.003250602645602334,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
50.0,12000.0,0.23366666666666666,-39.8999893165714,-102.10042331961587,0.9014327120088798,25.0,100.0,40.0,53.333333333333336,2.0,0.5226714758499046,0.003421022569631354,0.5174862694351612,0.003283437015759933,nan,nan,nan,36.19707813606647,34.84116896438513,48.0,16.0,
51.0,12240.0,0.23333333333333334,-28.54424341389938,-95.37032848725343,0.6449045095152733,25.0,100.0,40.0,53.333333333333336,6.0,0.494301701030244,0.0035930153216398183,0.5692348963786773,0.0033442414049406725,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
52.0,12480.0,0.23299999999999998,-203.42197012303296,-103.4697684112048,4.265817032554244,25.0,100.0,40.0,53.333333333333336,6.0,0.5118486962851845,0.003933274987933513,0.4610802660667287,0.003122515931461048,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
53.0,12720.0,0.23266666666666666,-163.44619225424597,-104.0139593598446,3.5720302066048664,25.0,100.0,40.0,53.333333333333336,9.0,0.5360950013841258,0.00380355176777937,0.4191638782424806,0.003040219459036975,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
54.0,12960.0,0.23233333333333334,-40.64765948763452,-103.62601592178392,0.9279152238204239,25.0,100.0,40.0,53.333333333333336,3.0,0.5096166712303359,0.0035518067879621007,0.5174862694351612,0.003040219459036975,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
55.0,13200.0,0.232,-105.19269983327388,-105.54730889025932,2.6346346779522833,25.0,100.0,40.0,53.333333333333336,7.0,0.49255134003524415,0.003685673346358017,0.5174862694351612,0.00397295878906952,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
56.0,13440.0,0.23166666666666666,-168.26994403270245,-104.01752268861496,3.66273433550583,25.0,100.0,41.0,54.666666666666664,9.0,0.518650290112472,0.00398738629319637,0.5635425474148905,0.0036117807173359265,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
57.0,13680.0,0.23133333333333334,-94.33709233819354,-98.67533841268639,2.119299147317351,25.0,100.0,41.0,54.666666666666664,7.0,0.5074478767233069,0.00403767431678615,0.5692348963786773,0.003250602645602334,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
58.0,13920.0,0.231,-75.94499598674786,-96.69536235545736,2.0826853778837977,25.0,100.0,41.0,54.666666666666664,8.0,0.5195292513220715,0.0036018504776227527,0.6198968021563797,0.0033107989908912664,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
59.0,14160.0,0.23066666666666666,-247.81544063122374,-89.03105372448269,5.760455461778503,25.0,100.0,41.0,54.666666666666664,10.0,0.509335737896378,0.0038228055472851476,0.5449130417152248,0.00364826335084437,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
60.0,14400.0,0.23033333333333333,-101.1104484044923,-91.66017410384129,2.9896387090976675,25.0,100.0,41.0,54.666666666666664,7.0,0.5071714568613594,0.003944962801505167,0.4696187895124089,0.003611780717335927,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
61.0,14640.0,0.23,-60.019358416083044,-93.62257690242008,1.5964025417477898,25.0,100.0,41.0,54.666666666666664,4.0,0.5108418524671569,0.003421965459916358,0.3881147020763709,0.004053625945382633,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
62.0,14880.0,0.22966666666666666,-65.53577498432118,-94.11316289658325,1.3969784094060855,25.0,100.0,41.0,54.666666666666664,2.0,0.4776411806386511,0.00385243263074614,0.5174862694351612,0.00364826335084437,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
63.0,15120.0,0.22933333333333333,-32.591862264526796,-95.1271647147518,0.8789081104054869,25.0,100.0,41.0,54.666666666666664,1.0,0.5154351910443271,0.0035745403785294055,0.5174862694351612,0.003040219459036975,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
64.0,15360.0,0.229,-126.87287371124776,-96.6833898594876,2.777932317127661,25.0,100.0,42.0,56.00000000000001,11.0,0.533380734074365,0.003806331857159283,0.5174862694351612,0.003091290772146438,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
65.0,15600.0,0.22866666666666666,-24.40070416878415,-89.37444380115885,0.4626172363789342,25.0,100.0,42.0,56.00000000000001,4.0,0.5073132117026504,0.003276217127923774,0.5021164097466676,0.003040219459036975,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
66.0,15840.0,0.22833333333333333,-92.84225062239776,-90.55298488499645,2.1911549935464976,25.0,100.0,42.0,56.00000000000001,8.0,0.5214326781345371,0.0037383085108222435,0.5071882926734016,0.0033442414049406725,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
67.0,16080.0,0.228,-44.727393529692314,-88.37373168860455,1.195328450063919,25.0,100.0,42.0,56.00000000000001,5.0,0.5168522634464136,0.0036136308175525613,0.42692617228400803,0.0036117807173359265,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
68.0,16320.0,0.22766666666666666,-235.29939831853613,-98.53563982451082,4.792960884657936,25.0,100.0,42.0,56.00000000000001,11.0,0.5315287795474977,0.0039332796304806655,0.5692348963786773,0.004807280134774119,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
69.0,16560.0,0.22733333333333333,-436.1855404417802,-119.35529161396937,8.34928064711728,25.0,100.0,42.0,56.00000000000001,8.0,0.49347280026722445,0.0038274670536535375,0.3881147020763709,0.0035337114450690868,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
70.0,16800.0,0.227,-265.9287187331043,-130.65672808479601,5.597200073110134,25.0,100.0,42.0,56.00000000000001,9.0,0.5155953995685657,0.0037844782943078875,0.45190476877200086,0.00364826335084437,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
71.0,17040.0,0.22666666666666666,-268.93906942299816,-142.67646938525095,6.107683196109108,25.0,100.0,42.0,56.00000000000001,5.0,0.5060907888456393,0.0040399364283123735,0.3881147020763709,0.003040219459036975,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
72.0,17280.0,0.22633333333333333,-97.53148354939599,-137.3819450565691,2.1945598915144164,25.0,100.0,42.0,56.00000000000001,7.0,0.5456231823589439,0.003661180272144602,0.3881147020763709,0.003040219459036975,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
73.0,17520.0,0.226,-58.26941985984913,-132.12310643684927,1.196756847939015,25.0,100.0,42.0,56.00000000000001,5.0,0.4749052706529788,0.00347903511450942,0.5635425474148905,0.0033107989908912664,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
74.0,17760.0,0.22566666666666668,-160.42900746135135,-138.1121738355351,3.5230161279976837,25.0,100.0,42.0,56.00000000000001,7.0,0.5066456587669953,0.003598605371047886,0.4191638782424806,0.004013089685928808,nan,nan,nan,nan,34.84116896438513,48.0,16.0,
75.0,18000.0,0.22533333333333333,-101.01333977583387,-137.9032058326631,2.578400140482684,25.0,100.0,43.0,57.333333333333336,10.0,0.44200277166062235,0.003570887316546204,0.5692348963786773,0.0033442414049406725,nan,nan,nan,34.30732697567398,34.30732697567398,48.0,16.0,
76.0,18240.0,0.225,-88.41268461017798,-133.9103428615369,1.9178882962487345,25.0,100.0,43.0,57.333333333333336,9.0,0.4992417511365179,0.0037632488485470467,0.4429118638734382,0.004013089685928808,nan,nan,nan,nan,34.30732697567398,48.0,16.0,
77.0,18480.0,0.22466666666666668,-23.483068589183226,-130.3676416740864,0.5102946666629516,25.0,100.0,43.0,57.333333333333336,2.0,0.5132633616037601,0.0037696490294568913,0.3881147020763709,0.00364826335084437,nan,nan,nan,nan,34.30732697567398,48.0,16.0,
78.0,18720.0,0.22433333333333333,-185.25500250811822,-135.83314200015488,3.6379428382123247,25.0,100.0,43.0,57.333333333333336,7.0,0.4773662537531831,0.0036684019680668337,0.42692617228400803,0.00367866554543474,nan,nan,nan,nan,34.30732697567398,48.0,16.0,
79.0,18960.0,0.224,-73.26187357136817,-127.10546364716211,1.718079676404353,25.0,100.0,43.0,57.333333333333336,3.0,0.47702193966986095,0.0036970492938442063,0.42692617228400803,0.003854957940075367,nan,nan,nan,nan,34.30732697567398,48.0,16.0,
80.0,19200.0,0.22366666666666668,-153.67778243087733,-129.73383034848135,3.2109100673197513,25.0,100.0,43.0,57.333333333333336,9.0,0.4885487606772654,0.0038020091740223923,0.3881147020763709,0.004053625945382633,nan,nan,nan,nan,34.30732697567398,48.0,16.0,
81.0,19440.0,0.22333333333333333,-33.242193398554605,-128.39497209760492,0.7986190906502922,25.0,100.0,43.0,57.333333333333336,5.0,0.5217616607182513,0.003656111271930829,0.6727321502657095,0.0035045072182503328,nan,nan,nan,nan,34.30732697567398,48.0,16.0,
82.0,19680.0,0.223,-40.05772234086507,-127.12106946543213,1.061565234378547,25.0,100.0,43.0,57.333333333333336,5.0,0.5850333457386339,0.003954599530801658,0.49042173754370233,0.004013089685928808,nan,nan,nan,nan,34.30732697567398,48.0,16.0,
83.0,19920.0,0.22266666666666668,-43.57455646425743,-127.67020417541866,1.4181367142287176,25.0,100.0,43.0,57.333333333333336,4.0,0.5585148066602923,0.003547245173820391,0.6727321502657095,0.003040219459036975,nan,nan,nan,nan,34.30732697567398,48.0,16.0,
84.0,20160.0,0.22233333333333333,-21.032712065951387,-122.37819609315383,0.3933100987307216,25.0,100.0,43.0,57.333333333333336,3.0,0.5627784152485548,0.0034477517990877753,0.6198968021563798,0.004053625945382633,nan,nan,nan,nan,34.30732697567398,48.0,16.0,
