fit_scenario,minute,error_c,error_rate_c_per_min,applied_command,integral_state,outdoor_delta_c,load_fraction,nearest_error_rule,nearest_delta_rule,label_kp,label_ki,local_rollout_score,behaviour_policy
1.0,230.0,-2.2376362596483936,0.08186416102411406,0.0,80.5044301491385,5.748896120158701,0.22913091097400104,0.0,3.0,0.4916119559634031,0.004864351134459159,62.467766068639335,2.0
1.0,240.0,-0.8470152514011211,0.13906210082472725,0.0,80.5044301491385,5.814179920885621,0.22913091097400104,1.0,3.0,0.4916119559634031,0.004864351134459159,56.53004049626545,2.0
1.0,250.0,0.5276159776356941,0.1374631229036815,0.47000000000000003,78.75792253529347,5.876350134770512,0.22913091097400104,2.0,3.0,0.439863329019887,0.004661669837190028,59.991428673690095,2.0
1.0,260.0,1.5132800649173213,0.09856640872816272,0.97,86.288448482801,5.935288417277718,0.22913091097400104,3.0,3.0,0.2912444989388093,2.789561267327242e-05,58.26958470364707,2.0
1.0,270.0,1.2207177617588556,-0.029256230315846565,0.99,86.288448482801,5.990882576036661,0.22913091097400104,3.0,1.0,0.2912444989388093,2.789561267327242e-05,138.67080260888653,2.0
1.0,280.0,-0.6364503314235144,-0.185716809318237,0.51,90.78561027271007,6.043026784406372,0.22913091097400104,1.0,0.0,0.5174862694351612,0.004053625945382633,250.81536701968986,2.0
1.0,290.0,-3.147609482973774,-0.25111591515502596,0.0,89.27531878532892,6.091621782922537,0.09467336190329344,0.0,0.0,0.5174862694351612,0.004053625945382633,286.346299474341,2.0
1.0,300.0,-4.162832506574691,-0.10152230236009174,0.0,89.27531878532892,6.136575068243523,0.09467336190329344,0.0,1.0,0.5174862694351612,0.004053625945382633,237.18861077514327,2.0
2.0,0.0,4.182743486472923,0.0,0.0,0.0,8.689069170098985,0.16759014103317424,4.0,2.0,0.5174862694351612,0.004053625945382633,282.0233838541197,0.0
2.0,10.0,4.474353717478472,0.029161023100554927,0.75,0.0,8.690366143536814,0.16759014103317424,4.0,3.0,0.5433605829069192,0.004458988539920897,215.7630550332337,0.0
2.0,20.0,3.9247314211192794,-0.054962229635919256,1.0,0.0,8.691607376619402,0.16759014103317424,4.0,1.0,0.5174862694351612,0.004053625945382633,119.94466285128206,0.0
2.0,30.0,2.6266477299887896,-0.129808369113049,1.0,0.0,8.692790506589027,0.16759014103317424,3.0,1.0,0.439863329019887,0.004661669837190028,47.71604393990266,0.0
2.0,40.0,1.111519633825889,-0.15151280961629005,0.8,8.10215797825678,8.693913281290548,0.16759014103317424,3.0,1.0,0.2355971226417744,0.002998855732584006,12.075988169887708,0.0
2.0,50.0,-0.10733230143170758,-0.12188519352575966,0.0,13.357926979146598,8.694973563458511,0.16759014103317424,2.0,1.0,0.5433605829069192,0.004458988539920897,15.106543006384086,0.0
2.0,60.0,-0.4116007622561746,-0.030426846082446703,0.0,13.357926979146598,8.695969334785538,0.16759014103317424,1.0,1.0,0.5433605829069192,0.004458988539920897,25.739060858284365,0.0
2.0,70.0,0.15523237037893622,0.05668331326351108,0.0,13.371100727799945,8.696898699764319,0.16759014103317424,2.0,3.0,0.5433605829069192,0.004458988539920897,33.06045743394676,0.0
2.0,80.0,0.7955890092832014,0.06403566389042652,0.46,17.91887373132339,8.697759889295792,0.16759014103317424,3.0,3.0,0.5433605829069192,0.004458988539920897,29.763198140209383,0.0
2.0,90.0,0.9622973770374621,0.01667083677542607,0.61,27.26854131966747,8.698551264056736,0.16759014103317424,3.0,2.0,0.5433605829069192,0.004458988539920897,15.892077243422216,0.0
2.0,100.0,0.4984348250515822,-0.04638625519858799,0.45,35.14478114310721,8.699271317620319,0.16759014103317424,2.0,1.0,0.5433605829069192,0.004458988539920897,7.967170453511229,0.0
2.0,110.0,0.2401177238166774,-0.025831710123490483,0.29,39.10650576201936,8.699918679323655,0.16759014103317424,2.0,1.0,0.4916119559634031,0.004864351134459159,8.24764858315425,0.0
2.0,120.0,0.19515310814551157,-0.004496461567116583,0.26,41.08895049424862,8.700492116876948,0.16759014103317424,2.0,2.0,0.4916119559634031,0.004864351134459159,10.396478157651078,0.0
2.0,130.0,0.3736854509965255,0.017853234285101393,0.36,43.695549687044306,8.700990538709224,0.16759014103317424,2.0,2.0,0.4916119559634031,0.004864351134459159,10.490621322446575,0.0
2.0,140.0,0.4247775532614675,0.005109210226494199,0.43,47.768411936740414,8.701412996046194,0.16759014103317424,2.0,2.0,0.4916119559634031,0.004864351134459159,8.333252646346082,0.0
2.0,150.0,0.36739452924817684,-0.005738302401329065,0.4,51.46738752461394,8.70175868471631,0.16759014103317424,2.0,2.0,0.4916119559634031,0.004864351134459159,6.73729484103456,0.0
2.0,160.0,0.28782722815183703,-0.007956730109633981,0.35000000000000003,54.53686124856024,8.702026946681539,0.16759014103317424,2.0,2.0,0.4916119559634031,0.004864351134459159,5.866160743011751,0.0
2.0,170.0,0.23384042542243222,-0.005398680272940481,0.34,57.05856476126894,8.702217271289985,0.16759014103317424,2.0,2.0,0.4916119559634031,0.004864351134459159,5.499060534201931,0.0
2.0,180.0,0.21282405768905122,-0.0021016367733381,0.35000000000000003,59.135216225792426,8.702329296247935,0.16759014103317424,2.0,2.0,0.4916119559634031,0.004864351134459159,5.386034501184818,0.0
