episode,return,loss
229,-68.62199636430822,11.777235384782156
230,-49.29158534411438,11.724853281180064
231,-89.73366601043548,11.735074615478515
232,-59.67724149830502,14.26027199824651
233,-54.43788267965979,10.187812598546346
234,-50.36674322344364,13.260730803012848
235,-57.974199340190765,11.588846629858017
236,-114.37749166096911,11.545450580120086
237,-65.82585647630515,10.752625674009323
238,-62.6170233617316,11.728710087140401
239,-55.68168659379706,11.895798508326212
240,-70.18834354799893,11.005047291517258
241,-64.70219975970386,11.801509253184001
242,-62.056835963022486,11.84633455077807
243,-63.20672567467997,11.252059344450632
244,-108.11770274655282,10.994974420468013
245,-70.29162434846205,10.655884619553884
246,-63.61582612655751,11.3743993918101
247,-67.76199461811726,11.566007939974467
248,-65.44224310711111,11.622599816322326
249,-79.18970685764569,11.722719122966131
250,-67.8705052524744,11.881232819954555
251,-91.85425033454963,10.632983042796452
252,-61.2502541450953,13.36987914244334
253,-81.07455499432162,12.272900998592377
254,-71.23605843067091,11.631793077786764
255,-102.16185337463517,12.26713538368543
256,-55.13196441717801,12.563385287920633
257,-56.1570683642853,14.285192799568176
258,-82.01177270413152,13.262600859006247
259,-79.01152078478374,11.603175274531047
260,-51.85195223578049,11.282058215141296
261,-56.21410537100706,13.714609293142955
262,-81.57576675053676,12.128107659022014
263,-70.06843497405085,11.138164865970612
264,-83.60642760618127,12.306127309799194
265,-60.35903432906428,10.814878777662914
266,-54.29152045930947,11.954145765304565
267,-53.83370382980178,10.346040737628936
268,-80.62691377015375,11.04305952390035
269,-77.64310803380081,12.14356725215912
270,-78.16392974693784,11.994752113024393
271,-59.4709689496894,12.433100553353627
272,-80.51630242153935,12.358149027824402
273,-102.88564329043888,12.782344216108322
274,-88.02380916746912,11.667090638478596
275,-58.64344435368846,12.057306051254272
276,-77.92357656611013,11.179898566007614
277,-53.42515417507595,11.16811401049296
278,-99.6501658266292,12.660164640347164
279,-52.41955239217033,12.07011617620786
280,-69.44280968928862,11.773025304079056
281,-75.08662812824099,12.299066225687662
282,-100.08748715165682,13.185275638103485
283,-83.97015626570254,10.91337657769521
284,-74.69446456990352,12.369396493832271
285,-101.63746331277774,11.223455236355464
286,-71.95185425798998,12.595228548844656
287,-64.62659389218675,11.657875829935074
288,-57.692687243575214,11.364518847068151
289,-73.93512430542614,11.903561087449392
290,-67.93707400927624,12.072144862016042
291,-67.81714393069056,12.112779752413433
292,-62.47196610706149,11.685307290156683
293,-51.843138710716964,10.057974036534628
294,-75.58543995492285,12.380649822950364
295,-77.18570859216229,10.567483174800874
296,-75.9833296401234,12.213989321390788
297,-64.31308223354712,12.254950483640036
298,-56.15618942486001,11.825246850649515
299,-74.1256403258572,12.069213382403056
300,-51.96202882201378,11.806006276607514
301,-62.791805078453315,11.710446123282114
302,-70.8582053516901,11.366839553912481
303,-77.84996998482809,12.33271690607071
304,-50.98963200298104,12.936941428979237
305,-75.36154845243885,12.997173229853312
306,-70.11770062512825,13.158010188738505
307,-57.1316945348904,12.675564281145732
308,-61.56013800735139,12.154857762654622
309,-63.18267488814881,10.990926822026571
310,-60.068468886554925,11.760002104441325
311,-70.10555778785863,13.098468335469564
312,-50.295852016153475,12.311842123667398
313,-56.07038242543576,12.162024537722269
314,-73.51682291578774,11.631722885370255
315,-63.791356176023335,10.292744598786037
316,-36.04098641379702,11.764786465962727
317,-71.97610332251857,12.92251526316007
318,-54.509678584586666,10.825514380137125
319,-49.44179564272194,11.452724522352218
320,-78.72729143841286,11.251128812630972
321,-35.545594616757846,10.8894697368145
322,-83.37391508284469,10.966256244977314
323,-77.6493650163909,11.325905414422353
324,-75.86163429904614,10.745857765277227
325,-66.16039988792195,9.972774426142374
326,-59.31497816635153,10.59415660103162
327,-82.61309816222574,10.153797879815102
328,-73.14716209714183,10.301158058643342
329,-63.43894544302948,10.87697339852651
330,-52.94577210038128,11.191850982109706
331,-79.8311043334867,10.298504954576492
332,-39.48263379687368,10.57698705792427
333,-70.50651346474544,10.232838448882102
334,-92.81683901709712,10.050448010365168
335,-59.90365728226069,11.057626356681189
336,-48.58593710390541,10.550041119257608
337,-65.90710166909176,9.480870399872462
338,-75.09019375380811,10.18697661558787
339,-55.94317329347177,9.911261755228043
340,-45.777714865790855,9.772268545627593
341,-51.138989187929376,9.688581363360088
342,-98.30680054960467,9.582907384634018
343,-65.76556142923513,8.966799922784169
344,-60.67925057011242,9.385350900888444
345,-57.602930549647034,9.1735298037529
346,-77.89258392416743,8.584579408168793
347,-45.66816242888577,8.816343233982723
348,-67.36724251434853,8.979754275083542
349,-72.47928453689224,10.255147755146027
350,-59.54827017221623,9.205849007765453
351,-32.83439172064493,10.628697562217713
352,-88.57566186539981,9.58062318166097
353,-70.48667926676953,9.48203272819519
354,-53.30645702024827,9.116295196612676
355,-68.45172029206566,9.372078728675842
356,-65.81447727044056,8.83866892059644
357,-56.78298931837786,9.858397223552068
358,-75.28291710006108,9.214388918876647
359,-70.3819906705843,9.273010643323262
360,-67.61653828196921,9.308267895380656
361,-74.13247493713519,9.64752282301585
362,-58.814458341775754,9.73259445031484
363,-60.91970414081152,10.28904378414154
364,-78.14262103512073,9.821715933084487
365,-66.56123730752495,11.186849288145702
366,-54.33968656277047,11.45116310119629
367,-69.8115350837316,10.032536453008651
368,-63.99629553635362,9.490480639537175
369,-67.15471575460344,9.782079686721167
370,-80.47638383798439,7.98763996164004
371,-68.93645967867039,8.850175799926122
372,-92.0158860929822,9.2944016456604
373,-87.96698590509794,9.960881996154786
374,-76.25765011693757,10.079642577966053
375,-62.43908590804289,11.017233867446581
376,-56.935679606896436,11.60860603650411
377,-70.33532287570142,11.044579700628917
378,-77.30342642352025,11.386079414685566
379,-60.7006538290131,10.76008871793747
380,-55.65675621361966,10.680933503309886
381,-77.67834379088316,12.566985515753428
382,-70.70701260244736,11.775526559352874
383,-83.03133996800645,11.817096916834513
384,-58.66220332939407,10.518487052122753
385,-70.4027244179373,11.590580642223358
386,-81.96477142441202,11.782385722796123
387,-51.4686509198422,12.078930447498957
388,-82.4177920532986,11.447959591945013
389,-82.76067458273577,11.29057852824529
390,-36.575220945505805,11.552111228307089
391,-76.69131480125172,12.0956866701444
392,-68.19906563481949,11.81771724621455
393,-85.94727989817957,12.69095242023468
394,-77.25224617447599,12.80245292186737
395,-53.28726409347588,12.484597146511078
396,-63.04165285500111,11.839767704407373
397,-78.98467645092344,11.282765098412831
398,-61.385610751394424,13.000123282273611
399,-51.891748090990625,11.986976865927378
400,-61.381631642521015,11.994974366823833
401,-65.13242802047426,12.875300618012746
402,-66.34272338301588,12.57306855916977
403,-34.395722108595805,13.106460253397623
404,-77.39200146899547,13.114385290940602
405,-85.81530901380786,13.014552064736684
406,-79.68689019494201,12.807229216893514
407,-81.00006990447217,12.625481820106506
408,-72.56862972080741,11.969608283042907
409,-55.05183141066267,12.579425785938898
410,-91.98460466584785,13.309338949124019
411,-52.753306251931946,12.356763215859731
412,-78.94335087484022,14.263231281439463
413,-53.97431599848467,12.765632518132527
414,-66.64919440037401,14.238434104124705
415,-61.70839541653976,14.693725426991781
416,-59.58523880553836,14.341373229026795
417,-63.788041085102854,13.471677273511887
418,-72.5523858865754,12.808793059984843
419,-75.99538402326809,12.873110049962998
420,-59.66585985810857,13.816083244482677
421,-61.60528499124737,13.235353460907936
422,-69.4238517938212,13.587335403760274
423,-72.73351801585927,12.937292047341664
424,-53.54051364197763,13.61909629603227
425,-83.3010826151691,12.75708661476771
426,-71.89693602860588,12.858640866478284
427,-61.39986981971346,13.489713887373606
428,-68.58975470082925,14.09440961877505
429,-64.75743162431503,13.099799966812133
430,-78.94896975587716,12.858227050304412
431,-63.993669786995895,13.100390479962032
432,-47.99939986569277,12.662795480092367
433,-66.48650846891823,13.578718372186025
434,-71.69241664041678,11.195584597190221
435,-101.23504689757576,10.997697567939758
436,-71.46421358824726,12.645558752616246
437,-69.97310989875683,11.813759553432465
438,-69.74259256659809,11.73997022509575
439,-65.51107015177801,12.10440683166186
440,-54.962777428844106,11.985821362336477
441,-72.31386722744327,11.064514357844988
442,-69.06034931669879,10.904667715231577
443,-51.13498926458589,10.718240398168565
444,-71.09597518288798,11.215702122449875
445,-68.63666794478989,11.763851835330327
446,-69.53917472577652,12.545831489562989
447,-65.79146331429186,10.537848923603693
448,-60.263547496708206,11.411456473668416
449,-65.22934795557038,11.767874324321747
450,-53.27125974633237,13.080761444568633
451,-69.32419334281968,11.936254330476125
452,-73.62162170355617,11.087377772728603
453,-58.78227362640313,12.234022720654805
454,-75.27110711906082,11.191769955555598
455,-85.47218984698904,11.811340286334355
456,-70.9717680856179,11.683429887890815
457,-50.512375716033056,12.694895660877227
458,-48.05889959313742,12.262347942590713
459,-59.865836845908454,12.329318831364313
460,-66.31577409781097,12.307883435487748
461,-57.66607006862065,10.884899439414342
462,-64.76373875875645,11.090243691205979
463,-93.69953401449996,12.271756740411123
464,-50.75885449767759,12.229040877024334
465,-83.28398103868466,10.62669278581937
466,-88.94212338257256,11.539725343386332
467,-50.36762281804135,11.728828740119933
468,-72.0794473309227,12.135083496570587
469,-84.96073408503949,12.704836150010427
470,-55.723483896486414,12.439686683813731
471,-55.09509307297713,12.621736025810241
472,-49.822046311227005,11.68779862721761
473,-73.1836120756059,10.327966612577438
474,-64.99411178938735,11.198970369497935
475,-72.46964827628459,10.990140801668167
476,-72.16175391580464,11.610126600662868
477,-54.22533806342866,11.677996623516083
478,-64.68883833985797,11.52954022884369
479,-60.931569814274006,12.196856606006623
480,-95.80813676069985,11.982975123325984
