controller,minute,zone_c,measurement_c,setpoint_c,outdoor_c,internal_load_w,command_pct,requested_command_pct,kp,ki,inference_us,fallback_active
Ziegler-Nichols,177.0,24.2782156407708,24.042156677317237,23.8,35.95448496598782,1650.0,45.0,68.8992695199134,1.5,0.08,0.0,0
Ziegler-Nichols,178.0,24.355408350719596,24.146593504370532,23.8,35.96969424041387,1650.0,50.0,87.33754161287189,1.5,0.08,0.0,0
Ziegler-Nichols,179.0,24.432368478012517,24.223713134094805,23.8,35.984866014700835,1650.0,55.00000000000001,98.90548607151275,1.5,0.08,0.0,0
Ziegler-Nichols,180.0,24.509077651795828,24.310804094170393,23.8,36.0,1650.0,60.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,181.0,24.577765744078434,24.36545983511782,23.8,36.015095908182104,1650.0,65.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,182.0,24.638199317270637,24.447541993387347,23.8,36.030153451842814,1650.0,70.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,183.0,24.69019139065508,24.51927401257183,23.8,36.045172344308206,1650.0,75.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,184.0,24.733593658908497,24.574573697375662,23.8,36.060152299640215,1650.0,80.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,185.0,24.768290007734922,24.61279281170998,23.8,36.07509303264209,1650.0,85.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,186.0,24.794191110424173,24.666740900087227,23.8,36.0899942588638,1650.0,90.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,187.0,24.81122992518032,24.686274575311398,23.8,36.10485569460748,1650.0,95.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,188.0,24.819357943090846,24.761847612653373,23.8,36.11967705693282,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,189.0,24.818542061628687,24.762045521304763,23.8,36.13445806366244,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,190.0,24.808761979430702,24.788338230459956,23.8,36.1491984333873,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,191.0,24.790008025472165,24.768893361388646,23.8,36.163897885471975,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,192.0,24.76227935023695,24.784078617471852,23.8,36.17855614006011,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,193.0,24.725582418549813,24.782245447751325,23.8,36.193172918079654,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,194.0,24.679929753792816,24.758672564296255,23.8,36.207747941248236,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,195.0,24.62533889160751,24.744858991812688,23.8,36.22228093207841,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,196.0,24.561831508167643,24.723149753503595,23.8,36.236771613882986,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,197.0,24.49098371433454,24.667699156509233,23.8,36.251219710780276,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,198.0,24.41410846564565,24.58712103719294,23.8,36.26562494769933,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,199.0,24.332299423859016,24.562015630466778,23.8,36.279987050385216,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,200.0,24.246467508228623,24.477097443373268,23.8,36.29430574540419,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,201.0,24.15737135488886,24.371894790186627,23.8,36.308580760148935,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,202.0,24.065642699663314,24.308803096885768,23.8,36.32281182284376,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,203.0,23.971807530393907,24.23291784270635,23.8,36.33699866254974,1650.0,100.0,100.0,1.5,0.08,0.0,0
Ziegler-Nichols,204.0,23.876303713870364,24.15225377419421,23.8,36.35114100916989,1650.0,95.0,91.00461227997738,1.5,0.08,0.0,0
Ziegler-Nichols,205.0,23.77949568492669,24.090250920749227,23.8,36.36523859345433,1650.0,90.0,84.02619162922365,1.5,0.08,0.0,0
Ziegler-Nichols,206.0,23.681686687343564,24.010900180662777,23.8,36.37929114700537,1650.0,85.0,73.81078206155826,1.5,0.08,0.0,0
Ziegler-Nichols,207.0,23.58312897458903,23.896187416546628,23.8,36.39329840228264,1650.0,80.0,57.37336677650893,1.5,0.08,0.0,0
Ziegler-Nichols,208.0,23.484032310424517,23.821365797644518,23.8,36.40726009260819,1650.0,75.0,46.32105032234856,1.5,0.08,0.0,0
Ziegler-Nichols,209.0,23.384571052732017,23.71576294752054,23.8,36.42117595217158,1650.0,70.0,29.80672638391595,1.5,0.08,0.0,0
Ziegler-Nichols,210.0,23.28489005669228,23.611423053468766,23.8,36.435045716034885,1650.0,65.0,12.647126703900186,1.5,0.08,0.0,0
Ziegler-Nichols,211.0,23.185109594088928,23.505041488409944,23.8,36.4488691201378,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,212.0,23.08688047312572,23.385310980545988,23.8,36.462645901302636,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,213.0,22.99157046960345,23.27645288607123,23.8,36.476375797239335,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,214.0,22.900311539259114,23.186383100588376,23.8,36.49005854655048,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,215.0,22.814039161175632,23.097350837632213,23.8,36.50369388873624,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,216.0,22.73352512375136,23.022797128058745,23.8,36.51728156419935,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,217.0,22.659404846137186,22.930554911452482,23.8,36.53082131425006,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,218.0,22.592200145897664,22.840870950657095,23.8,36.544312881111054,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,219.0,22.550950456757842,22.72870712014893,23.8,36.557756007922336,1650.0,0.0,0.0,1.5,0.08,0.0,0
Ziegler-Nichols,220.0,22.531261553966495,22.652068125309004,23.8,36.57115043874616,1650.0,0.0,0.0,1.5,0.08,0.0,0
