algorithm,ordinal,repeat_seed,scenario_index,objective,rmse_c,max_undershoot_c,failed_checks,load_ratio,window_left_h,cause
imc,28,211,12,32.74200992038697,0.6906966692463651,1.427698751809416,comfort_held+recovery_ok,0.068,1.0,tuning
bo,28,211,12,39.04181782177243,0.7787304626395177,1.799622236136539,comfort_held+recovery_ok,0.068,1.0,tuning
safe-bo,28,211,12,32.74200992038697,0.6906966692463651,1.427698751809416,comfort_held+recovery_ok,0.068,1.0,tuning
fnn,28,211,12,32.74200992038697,0.6906966692463651,1.427698751809416,comfort_held+recovery_ok,0.068,1.0,tuning
rl,28,211,12,31.26842143301578,0.6728639812161954,1.3761534495626506,comfort_held+recovery_ok,0.068,1.0,tuning
llm,28,211,12,32.74200992038697,0.6906966692463651,1.427698751809416,comfort_held+recovery_ok,0.068,1.0,tuning
zn,29,211,13,108.6590283860986,1.9637430465607586,3.0584713128863186,comfort_held+recovery_ok,0.041,1.0,tuning
imc,29,211,13,80.10573656619812,1.6314864975721435,2.663938059469622,comfort_held+recovery_ok,0.041,1.0,tuning
bo,29,211,13,90.37092346044378,1.7509653384342507,2.830537940039399,comfort_held+recovery_ok,0.041,1.0,tuning
safe-bo,29,211,13,80.10573656619812,1.6314864975721435,2.663938059469622,comfort_held+recovery_ok,0.041,1.0,tuning
fnn,29,211,13,80.10573656619812,1.6314864975721435,2.663938059469622,comfort_held+recovery_ok,0.041,1.0,tuning
rl,29,211,13,77.39825093483319,1.6005200265784356,2.401486552649672,comfort_held+recovery_ok,0.041,1.0,tuning
llm,29,211,13,80.10573656619812,1.6314864975721435,2.663938059469622,comfort_held+recovery_ok,0.041,1.0,tuning
zn,30,211,14,90.86838262283979,1.5546384623206997,2.3336388098209717,comfort_held+recovery_ok,0.357,1.41,tuning
imc,30,211,14,88.58134045365028,1.5185089751575744,2.0334924978976687,comfort_held+recovery_ok,0.357,1.41,tuning
bo,30,211,14,87.61898651607508,1.5117575581976888,2.0335505693102327,comfort_held+recovery_ok,0.357,1.41,tuning
safe-bo,30,211,14,88.58134045365028,1.5185089751575744,2.0334924978976687,comfort_held+recovery_ok,0.357,1.41,tuning
fnn,30,211,14,88.58134045365028,1.5185089751575744,2.0334924978976687,comfort_held+recovery_ok,0.357,1.41,tuning
rl,30,211,14,81.6451080598325,1.406544072888132,2.1395525055054883,comfort_held+recovery_ok,0.357,1.41,tuning
llm,30,211,14,88.58134045365028,1.5185089751575744,2.0334924978976687,comfort_held+recovery_ok,0.357,1.41,tuning
zn,31,211,15,73.86364837108421,1.7259852150772126,1.6630267352681898,comfort_held+recovery_ok,0.097,1.0,tuning
imc,31,211,15,51.24441444736406,1.58793747464945,0.9444361624892892,comfort_held+recovery_ok,0.097,1.0,tuning
