episode,return,iae,kp,ki,gradient,gradient_kp,gradient_ki,gradient_logits,logits,noise,noise_std,noise_mean,noise_l2,steps,status
20,-91.66506703876529,91.66506703876529,0.3286471564610732,0.012460709472187416,"[-17061.30423905915, -389122.7776125535]",-17061.30423905915,-389122.7776125535,"[-7592.1892138349995, -10141.684312890027]","[0.4569710164572979, 0.26766923910316104]","{'std': 0.1, 'mean': 0.004400468611018882, 'sample_std': 0.10026406506095671, 'l2': 3.4765926191967313, 'first': -0.07435013501721761, 'last': 0.06978532511133743, 'samples': 1200}",0.1,0.004400468611018882,3.4765926191967313,1200,updated
21,-102.57049578887434,102.57049578887434,0.29629370526520515,0.010066361451489729,"[987.9932319686387, 380928.8730378184]",987.9932319686387,380928.8730378184,"[402.6327527240055, 8108.777978678036]","[0.3810491243189479, 0.16625239597426075]","{'std': 0.1, 'mean': -0.0045158173753072255, 'sample_std': 0.09880845088774541, 'l2': 3.4263979757295777, 'first': -0.053257543477538166, 'last': 0.0013125962309977089, 'samples': 1200}",0.1,-0.0045158173753072255,3.4263979757295777,1200,updated
22,-91.03631587401372,91.03631587401372,0.2979384621521882,0.01194131067713049,"[22243.73408243782, 328974.0805538968]",22243.73408243782,328974.0805538968,"[9108.27416410136, 8238.057574341641]","[0.38507545184618797, 0.24734017576104111]","{'std': 0.1, 'mean': 0.0005989094129337443, 'sample_std': 0.09846409309247213, 'l2': 3.4109593350272447, 'first': -0.1010399900115073, 'last': 0.03834668364635855, 'samples': 1200}",0.1,0.0005989094129337443,3.4109593350272447,1200,updated
23,-85.5122831473125,85.5122831473125,0.3372781173591681,0.014179442333664466,"[-28958.977485527652, -407072.5768302058]",-28958.977485527652,-407072.5768302058,"[-13167.002443992433, -11962.36151139784]","[0.47615819348720156, 0.32972075150445757]","{'std': 0.1, 'mean': 0.005102600877879988, 'sample_std': 0.09999608765594578, 'l2': 3.4684729923494344, 'first': 0.016368763699682442, 'last': 0.0319887808353416, 'samples': 1200}",0.1,0.005102600877879988,3.4684729923494344,1200,updated
24,-94.37027373071975,94.37027373071975,0.28171525721797686,0.011042292150636646,"[13382.167090702795, 107041.02051064056]",13382.167090702795,107041.02051064056,"[5219.372957371384, 2489.2140434948983]","[0.3444881690472772, 0.21009713639047917]","{'std': 0.1, 'mean': -0.0026462667965706193, 'sample_std': 0.10254330996900596, 'l2': 3.553387085138618, 'first': 0.118455307983091, 'last': -0.053370195807128706, 'samples': 1200}",0.1,-0.0026462667965706193,3.553387085138618,1200,updated
25,-93.67653723431488,93.67653723431488,0.30272375246200833,0.011635769310107687,"[11361.43447452514, 125962.63302126681]",11361.43447452514,125962.63302126681,"[4716.379214487582, 3078.1632750804865]","[0.396681898620991, 0.23498927682542814]","{'std': 0.1, 'mean': -0.0009269706758410179, 'sample_std': 0.10033285353513885, 'l2': 3.475780333646675, 'first': -0.1105637932214007, 'last': 0.060673905717731486, 'samples': 1200}",0.1,-0.0009269706758410179,3.475780333646675,1200,updated
26,-91.06743292768158,91.06743292768158,0.322849664072607,0.012411325305270842,"[25517.60396598246, 157842.72479468453]",25517.60396598246,157842.72479468453,"[11187.359521455593, 4098.573160251854]","[0.44384569076586683, 0.265770909576233]","{'std': 0.1, 'mean': 0.0021169080945429228, 'sample_std': 0.10065004545585968, 'l2': 3.4873909359543895, 'first': 0.08926975361481615, 'last': -0.038482857357075975, 'samples': 1200}",0.1,0.0021169080945429228,3.4873909359543895,1200,updated
27,-91.03546341590906,91.03546341590906,0.37507244470039897,0.013519237455517499,"[7189.950738189229, -32281.69817192525]",7189.950738189229,-32281.69817192525,"[3563.1711242531346, -907.7539469408566]","[0.5557192859804228, 0.30675664117875157]","{'std': 0.1, 'mean': 0.0014070198224101211, 'sample_std': 0.10175165588857771, 'l2': 3.5251177309442907, 'first': -0.12567478162480597, 'last': 0.06419280408570027, 'samples': 1200}",0.1,0.0014070198224101211,3.5251177309442907,1200,updated
28,-93.55234836661452,93.55234836661452,0.39306211789694445,0.013266202398742537,"[-763.4494421489503, -141607.76024624796]",-763.4494421489503,-141607.76024624796,"[-392.57019655870477, -3912.771407512469]","[0.5913509972229541, 0.297679101709343]","{'std': 0.1, 'mean': 0.001534610540489039, 'sample_std': 0.100201572579047, 'l2': 3.471491352745964, 'first': -0.1652964834705517, 'last': -0.16255622856759305, 'samples': 1200}",0.1,0.001534610540489039,3.471491352745964,1200,updated
29,-97.57064963317693,97.57064963317693,0.3910475426366566,0.012225183220747273,"[-5904.945066529329, 349879.2886720392]",-5904.945066529329,349879.2886720392,"[-3024.1939966684217, 8957.199077585947]","[0.5874252952573671, 0.25855138763421825]","{'std': 0.1, 'mean': -0.002265679695281234, 'sample_std': 0.10187601163171861, 'l2': 3.5299611981665198, 'first': -0.13332903485754008, 'last': 0.019742267013982448, 'samples': 1200}",0.1,-0.002265679695281234,3.5299611981665198,1200,updated
