episode,decision,learning_scenario,state_error_bin,state_delta_bin,state_command_bin,error_c,error_rate_c_per_min,action,target_kp_scale,target_ki_scale,applied_kp,applied_ki,reward,next_error_bin,next_delta_bin,next_command_bin,next_error_c,next_error_rate_c_per_min,td_error
2.0,1.0,38.0,2.0,2.0,0.0,0.4434142132631429,0.0,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-0.5346268809717667,3.0,2.0,1.0,0.5734976437700965,0.02601668610139072,-0.5346278809717667
2.0,2.0,38.0,3.0,2.0,1.0,0.5734976437700965,0.02601668610139072,0.0,0.75,0.75,0.4057413496795382,0.0027688666378689877,-0.7490886238641794,3.0,2.0,1.0,0.5632183932271388,-0.0020558501085915283,-0.7490886238641794
2.0,3.0,38.0,3.0,2.0,1.0,0.5632183932271388,-0.0020558501085915283,5.0,1.0,1.3,0.44631548464749204,0.003045753301655887,-0.7014620290539713,3.0,2.0,1.0,0.5505580612039296,-0.002532066404641853,-0.7014620290539713
2.0,4.0,38.0,3.0,2.0,1.0,0.5505580612039296,-0.002532066404641853,2.0,0.75,1.3,0.40168393618274284,0.003350328631821476,-0.5476039319757294,2.0,2.0,1.0,0.4614656980816534,-0.01781847262445524,-0.6876755644623584
2.0,5.0,38.0,2.0,2.0,1.0,0.4614656980816534,-0.01781847262445524,0.0,0.75,0.75,0.36151554256446855,0.0030152957686393283,-0.46851144735973493,2.0,2.0,1.0,0.4068536475122926,-0.01092241011387216,-0.4552235605620595
2.0,6.0,38.0,2.0,2.0,1.0,0.4068536475122926,-0.01092241011387216,1.0,0.75,1.0,0.3381177913996152,0.003076518486521097,-0.41644638233461573,2.0,2.0,1.0,0.4036961255785947,-0.0006315043867395787,-0.4031094306864286
2.0,7.0,38.0,2.0,2.0,1.0,0.4036961255785947,-0.0006315043867395787,7.0,1.3,1.0,0.3719295705395767,0.003076518486521097,-0.3806226290728424,2.0,2.0,1.0,0.36328763170354605,-0.008081698775009727,-0.36723855913765857
2.0,8.0,38.0,2.0,2.0,1.0,0.36328763170354605,-0.008081698775009727,6.0,1.3,0.75,0.4091225275935344,0.0027688666378689877,-0.4139575853066485,2.0,2.0,1.0,0.34798869665825194,-0.003059787009058823,-0.40049099336669375
2.0,9.0,38.0,2.0,2.0,1.0,0.34798869665825194,-0.003059787009058823,3.0,1.0,0.75,0.45003478035288785,0.002491979974082089,-0.32830312847212634,2.0,2.0,1.0,0.2752530910949318,-0.01454712111266403,-0.31478201231066183
2.0,10.0,38.0,2.0,2.0,1.0,0.2752530910949318,-0.01454712111266403,4.0,1.0,1.0,0.45082372186615355,0.002741177971490298,-0.28248807118536595,2.0,2.0,1.0,0.27102996777455957,-0.0008446246640744448,-0.26777864448773403
