episode,environment_steps,epsilon,episode_reward,moving_average_reward_20,mean_abs_td_error,visited_states,state_coverage_pct,visited_full_states,full_state_coverage_pct,greedy_policy_changes,mean_kp,mean_ki,final_kp,final_ki,validation_baseline_objective,validation_learned_objective,deployment_accepted,checkpoint_validation_objective,best_checkpoint_validation_objective,fit_scenarios,validation_scenarios
41.0,9840.0,0.23666666666666666,-344.2226795339249,-119.93946304922395,6.992779939022246,23.0,92.0,39.0,52.0,7.0,0.4642739776084432,0.0030747417077151076,0.5274637545833997,0.0030152957686393283,nan,nan,nan,nan,45.40959875900515,38.0,10.0
42.0,10080.0,0.23633333333333334,-148.81190267139627,-115.44569602727502,3.245652847457972,23.0,92.0,39.0,52.0,11.0,0.3887210907733955,0.0027249958527924742,0.3381177913996152,0.003045753301655887,nan,nan,nan,nan,45.40959875900515,38.0,10.0
43.0,10320.0,0.236,-44.458223964993294,-114.7409762792694,1.24412430211113,23.0,92.0,39.0,52.0,6.0,0.4459824268724309,0.002759596222314101,0.45082372186615355,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
44.0,10560.0,0.23566666666666666,-28.606846351402822,-104.78918392353896,0.6667298703200988,23.0,92.0,39.0,52.0,1.0,0.4288291273337492,0.0026321917224510116,0.3719295705395767,0.0027137661917753953,nan,nan,nan,nan,45.40959875900515,38.0,10.0
45.0,10800.0,0.23533333333333334,-33.84360653899398,-98.2070850706128,0.6495218440520402,23.0,92.0,39.0,52.0,1.0,0.4828956493200478,0.002682480237255145,0.437433806503007,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
46.0,11040.0,0.235,-128.35516357100968,-99.63727991148208,2.92679528826361,23.0,92.0,39.0,52.0,7.0,0.42859726601287346,0.002871224234598396,0.44631548464749204,0.003045753301655887,nan,nan,nan,nan,45.40959875900515,38.0,10.0
47.0,11280.0,0.23466666666666666,-109.13156041980345,-92.35364035456553,2.222156683312297,23.0,92.0,39.0,52.0,8.0,0.43040941082242873,0.0026786365071639873,0.45082372186615355,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
48.0,11520.0,0.23433333333333334,-40.9443636416984,-89.78288893315889,0.960651912825179,23.0,92.0,39.0,52.0,3.0,0.45616886542443913,0.0025973745192294094,0.43743380650300706,0.003045753301655887,nan,nan,nan,nan,45.40959875900515,38.0,10.0
49.0,11760.0,0.23399999999999999,-198.4721574322318,-96.4243851842077,4.271292977439184,23.0,92.0,39.0,52.0,9.0,0.4506023815069586,0.002870377008650995,0.5274637545833997,0.003076518486521097,nan,nan,nan,nan,45.40959875900515,38.0,10.0
50.0,12000.0,0.23366666666666666,-190.9925826519895,-104.5963572920004,4.0804019865090035,23.0,92.0,39.0,52.0,8.0,0.43552173160832036,0.0028218775336007044,0.4091225275935344,0.002491979974082089,nan,nan,nan,45.661481949143045,45.40959875900515,38.0,10.0
51.0,12240.0,0.23333333333333334,-71.29545704879315,-102.59912753839401,1.5828656387102231,23.0,92.0,39.0,52.0,1.0,0.4210533424288025,0.0028846450262117024,0.45082372186615355,0.0023073888648908226,nan,nan,nan,nan,45.40959875900515,38.0,10.0
52.0,12480.0,0.23299999999999998,-29.292849467940535,-100.79604098362667,0.7936511577148221,23.0,92.0,39.0,52.0,1.0,0.4334446646235917,0.0029387529501067097,0.40168393618274284,0.0027137661917753957,nan,nan,nan,nan,45.40959875900515,38.0,10.0
53.0,12720.0,0.23266666666666666,-38.01665436747047,-96.64908126091888,0.8079705052810467,23.0,92.0,39.0,52.0,3.0,0.4455115156768308,0.002968006429287906,0.4091225275935344,0.0024179656768718773,nan,nan,nan,nan,45.40959875900515,38.0,10.0
