fit_scenario,minute,error_c,error_rate_c_per_min,nearest_error_rule,nearest_delta_rule,label_kp,label_ki
3.0,125.0,0.11685781538848516,-0.0018217648228372242,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,130.0,0.1099683432894949,-0.0013778944197980537,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,135.0,0.14185707290425498,0.006377745922952016,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,140.0,0.09940132692407033,-0.00849114919603693,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,145.0,0.08960064173336946,-0.001960137038140175,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,150.0,0.07166881568160122,-0.003586365210353648,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,155.0,0.09625331507811907,0.0049168998793035715,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,160.0,0.10901390468464456,0.002552117921305097,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,165.0,0.11101508131087812,0.0004002353252467117,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,170.0,0.0641660710910621,-0.009369802043963205,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,175.0,0.05841629893505029,-0.0011499544312023602,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,180.0,0.09462246014611608,0.007241232242213158,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,185.0,0.10529689447611901,0.002134886866000585,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,190.0,0.07873866128555562,-0.005311646638112677,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,195.0,0.06027176807620549,-0.0036933786418700265,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,200.0,0.06639920650206932,0.001225487685172766,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,205.0,0.06771554215686493,0.00026326713095912167,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,210.0,0.07589331270365918,0.0016355541093588499,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,215.0,0.05677038980539706,-0.0038245845796524235,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,220.0,0.045814633762756074,-0.002191151208528197,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,225.0,0.07460243320850068,0.005757559889148922,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,230.0,0.025181714278364353,-0.009884143786027266,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,235.0,0.022885580966281793,-0.000459226662416512,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,240.0,0.04773403627271122,0.004969691061285886,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,245.0,0.04860780796424535,0.00017475433830682618,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,250.0,0.029343913055480897,-0.003852778981752891,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,255.0,0.01725060211565932,-0.0024186621879643154,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,260.0,0.024137366627240198,0.0013773529023161756,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,265.0,0.019599757739843682,-0.0009075217774793032,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,270.0,0.046974384503272404,0.005474925352685745,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,275.0,0.014475069703308918,-0.006499862959992697,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,280.0,0.004932279853317567,-0.0019085579699982703,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,285.0,-0.012667172925116432,-0.0035198905556868,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,290.0,0.02471834538411244,0.007477103661845774,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,295.0,0.011620052196935404,-0.002619658637435407,2.0,2.0,0.1978982209034326,0.0018695250991908091
3.0,300.0,0.03759469743159727,0.005194929046932373,2.0,2.0,0.1978982209034326,0.0018695250991908091
4.0,0.0,0.5661291915625597,0.0,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,5.0,0.8522352969369358,0.05722122107487522,3.0,3.0,0.7664494449146888,0.01521871724141333
4.0,10.0,1.131224186977235,0.05579777800805985,3.0,3.0,0.7664494449146888,0.01521871724141333
4.0,15.0,1.154628624148664,0.004680887434285808,3.0,2.0,0.7664494449146888,0.01521871724141333
4.0,20.0,0.9473677060050463,-0.04145218362872356,3.0,1.0,0.7664494449146888,0.01521871724141333
4.0,25.0,0.6490941902610139,-0.05965470314880648,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,30.0,0.27596014635509647,-0.07462680878118348,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,35.0,-0.06347229364356366,-0.06788648799973203,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,40.0,-0.1753701637690135,-0.022379574025089964,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,45.0,-0.13383426136552856,0.008307180480696985,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,50.0,0.03154135138486325,0.03307512255007836,2.0,3.0,0.7664494449146888,0.01521871724141333
4.0,55.0,0.26772665892461234,0.04723706150794982,2.0,3.0,0.7664494449146888,0.01521871724141333
4.0,60.0,0.4437597225506522,0.035206612725207975,2.0,3.0,0.7664494449146888,0.01521871724141333
4.0,65.0,0.5294984272626699,0.017147740942403546,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,70.0,0.48916573077846337,-0.008066539296841313,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,75.0,0.3244306721861463,-0.03294701171846341,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,80.0,0.09612394814188363,-0.04566134480885253,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,85.0,-0.08502930788197105,-0.03623065120477094,2.0,1.0,0.7664494449146888,0.01521871724141333
4.0,90.0,-0.19773723671851684,-0.022541585767309157,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,95.0,-0.12938937130936168,0.013669573081831032,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,100.0,-0.057683026299631734,0.014341269001945989,2.0,2.0,0.7664494449146888,0.01521871724141333
4.0,105.0,0.10128127484022542,0.03179286022797143,2.0,3.0,0.7664494449146888,0.01521871724141333
