minute,zn_zone_c,imc_zone_c,bo_zone_c,safe-bo_zone_c,fnn_zone_c,rl_zone_c,llm_zone_c,zn_command,imc_command,bo_command,safe-bo_command,fnn_command,rl_command,llm_command,setpoint_c
60.0,22.43987865994299,22.61591028027469,22.41512947736532,22.61591028027469,22.61591028027469,22.80611590958602,22.61591028027469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
61.0,22.566250964870143,22.719977834334838,22.523032272418163,22.719977834334838,22.719977834334838,22.908054226365646,22.719977834334838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
62.0,22.69631847551459,22.83049459367996,22.637105472452635,22.83049459367996,22.83049459367996,23.01650632911388,22.83049459367996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
63.0,22.829455501926567,22.946496515621618,22.756417441153182,22.946496515621618,22.946496515621618,23.13050212154291,22.946496515621618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
64.0,22.96511481358705,23.067139570033895,22.880152592556932,23.067139570033895,23.067139570033895,23.249192245425867,23.067139570033895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
65.0,23.102817988492713,23.191684985451303,23.007597123567855,23.191684985451303,23.191684985451303,23.37183323777025,23.191684985451303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
66.0,23.242146947580643,23.31948630718404,23.138126498754914,23.31948630718404,23.31948630718404,23.49777451092751,23.31948630718404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
67.0,23.382736528924568,23.449978044922503,23.27119447224195,23.449978044922503,23.449978044922503,23.62644693176985,23.449978044922503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
68.0,23.52426797401104,23.5826657146309,23.40632345792365,23.5826657146309,23.5826657146309,23.757352803557836,23.5826657146309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
69.0,23.66646321408522,23.71711710350144,23.543096082423727,23.71711710350144,23.71711710350144,23.89005707823857,23.71711710350144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
70.0,23.809079858311634,23.85295460776856,23.681147775546073,23.85295460776856,23.85295460776856,24.024179648068827,23.85295460776856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
71.0,23.95190679756133,23.98984851162821,23.820160270807115,23.98984851162821,23.98984851162821,24.159388584014167,23.98984851162821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
72.0,24.094760348221538,24.12751109168741,23.95985590428458,24.12751109168741,24.12751109168741,24.295394204652965,24.12751109168741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
73.0,24.237480869708495,24.265691445562776,24.099992613743265,24.265691445562776,24.265691445562776,24.431943873593056,24.265691445562776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
74.0,24.379929797508435,24.40417095569672,24.24035955203827,24.40417095569672,24.40417095569672,24.568817435933877,24.40417095569672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
75.0,24.521987040716162,24.542759310381573,24.38077323935737,24.542759310381573,24.542759310381573,24.70582321529423,24.542759310381573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
76.0,24.663548699307373,24.681291013561783,24.521074188128523,24.681291013561783,24.681291013561783,24.84279450256362,24.681291013561783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
77.0,24.80452506187818,24.819622323388014,24.661123942545164,24.819622323388014,24.819622323388014,24.979586475989123,24.819622323388014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
78.0,24.944838849407578,24.957628566868618,24.800802481790306,24.957628566868618,24.957628566868618,25.11607349962609,24.957628566868618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
79.0,25.084423674828386,25.095201784430124,24.940005942293922,25.095201784430124,25.095201784430124,25.252146753685963,25.095201784430124,0.0,0.0,0.0,0.0,0.0,0.25,0.0,24.89409901651732
80.0,25.223222691902965,25.232248663870728,25.07864461984302,25.232248663870728,25.232248663870728,25.387712156021074,25.232248663870728,0.0,0.0,0.0,0.0,0.0,0.25,0.0,24.89409901651732
81.0,25.361187410154567,25.368688728166312,25.2166412171756,25.368688728166312,25.368688728166312,25.522688538991805,25.368688728166312,0.25,0.0,0.0,0.0,0.0,0.3,0.0,24.89409901651732
82.0,25.49827665546055,25.50445274595317,25.353929306910363,25.50445274595317,25.50445274595317,25.657006050352365,25.50445274595317,0.3,0.25,0.0,0.25,0.25,0.35000000000000003,0.25,24.89409901651732
83.0,25.634455658418048,25.639481337340136,25.49045198336641,25.639481337340136,25.639481337340136,25.79060475064322,25.639481337340136,0.35000000000000003,0.25,0.25,0.25,0.25,0.4,0.25,24.89409901651732
84.0,25.769695254789664,25.773723751061386,25.626160680074857,25.773723751061386,25.773723751061386,25.923433382956706,25.773723751061386,0.4,0.29,0.25,0.29,0.29,0.45,0.29,24.89409901651732
85.0,25.90397118426389,25.907136791926884,25.761014132633257,25.907136791926884,25.907136791926884,26.055448293906235,25.907136791926884,0.45,0.34,0.3,0.34,0.34,0.5,0.34,24.89409901651732
86.0,26.03726347545544,26.039683880112012,25.894977469052563,26.039683880112012,26.039683880112012,26.186612487229183,26.039683880112012,0.5,0.39,0.35000000000000003,0.39,0.39,0.55,0.39,24.89409901651732
87.0,26.16955590655353,26.171334226094427,26.028021411938692,26.171334226094427,26.171334226094427,26.316894793734082,26.171334226094427,0.55,0.44,0.4,0.44,0.44,0.6,0.44,24.89409901651732
88.0,26.300835532326914,26.302062107034878,26.160121578773477,26.302062107034878,26.302062107034878,26.438596787315422,26.302062107034878,0.6,0.49,0.45,0.49,0.49,0.65,0.49,24.89409901651732
89.0,26.431092269335526,26.431846232142906,26.291257868246692,26.431846232142906,26.431846232142906,26.547481754325865,26.431846232142906,0.65,0.54,0.5,0.54,0.54,0.7000000000000001,0.54,24.89409901651732
90.0,26.552646176211688,26.560669186098334,26.421413922070396,26.560669186098334,26.560669186098334,26.643577096314203,26.560669186098334,0.7000000000000001,0.59,0.55,0.59,0.59,0.75,0.59,24.89409901651732
91.0,26.659742271366028,26.680844584954023,26.550576653004743,26.680844584954023,26.680844584954023,26.72587547965349,26.680844584954023,0.75,0.64,0.6,0.64,0.64,0.8,0.64,24.89409901651732
92.0,26.751579137584915,26.788146255934215,26.671063474975256,26.788146255934215,26.788146255934215,26.793517315332004,26.788146255934215,0.8,0.6900000000000001,0.65,0.6900000000000001,0.6900000000000001,0.85,0.6900000000000001,24.89409901651732
93.0,26.827477804303197,26.882917718994538,26.778651547971805,26.882917718994538,26.882917718994538,26.845772385641745,26.882917718994538,0.85,0.74,0.7000000000000001,0.74,0.74,0.9,0.74,24.89409901651732
94.0,26.886866481132465,26.96432831404877,26.87338042247511,26.96432831404877,26.96432831404877,26.882023729409827,26.96432831404877,0.9,0.79,0.75,0.79,0.79,0.9500000000000001,0.79,24.89409901651732
95.0,26.929267168392794,27.031462325431185,26.954253401090607,27.031462325431185,27.031462325431185,26.901753508389298,27.031462325431185,0.9500000000000001,0.84,0.8,0.84,0.84,1.0,0.84,24.89409901651732
96.0,26.95428391411971,27.08354032555503,27.020420204307747,27.08354032555503,27.08354032555503,26.90453061149041,27.08354032555503,1.0,0.89,0.85,0.89,0.89,1.0,0.89,24.89409901651732
97.0,26.961592515328725,27.119902210493876,27.071158760316834,27.119902210493876,27.119902210493876,26.88999978341462,27.119902210493876,1.0,0.9400000000000001,0.9,0.9400000000000001,0.9400000000000001,1.0,0.9400000000000001,24.89409901651732
98.0,26.950931486153426,27.139992321066682,27.10585923333376,27.139992321066682,27.139992321066682,26.85787209046515,27.139992321066682,1.0,0.99,0.9500000000000001,0.99,0.99,1.0,0.99,24.89409901651732
99.0,26.92209413725711,27.1433463932935,27.1240100155096,27.1433463932935,27.1433463932935,26.8079165593008,27.1433463932935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.89409901651732
100.0,26.874921630026858,27.129580113543597,27.125185441264364,27.129580113543597,27.129580113543597,26.739952844568524,27.129580113543597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.89409901651732
101.0,26.809296885820967,27.098379081289814,27.10903501250036,27.098379081289814,27.098379081289814,26.653844799042574,27.098379081289814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.89409901651732
102.0,26.725139245244343,27.049490006586563,27.07527394912988,27.049490006586563,27.049490006586563,26.549494835417473,27.049490006586563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.89409901651732
103.0,26.622399785324383,26.982712990620005,27.023674902140463,26.982712990620005,26.982712990620005,26.426838982515626,26.982712990620005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.89409901651732
104.0,26.501057213773855,26.897894756302904,26.954060686411324,26.897894756302904,26.897894756302904,26.28584255061204,26.897894756302904,1.0,1.0,1.0,1.0,1.0,0.99,1.0,24.89409901651732
105.0,26.36111426945191,26.794922712223457,26.866297908029633,26.794922712223457,26.794922712223457,26.12803080225157,26.794922712223457,1.0,1.0,1.0,1.0,1.0,0.9400000000000001,1.0,24.89409901651732
106.0,26.20412903803756,26.673719747587768,26.76029137623717,26.673719747587768,26.673719747587768,25.955794170157976,26.673719747587768,1.0,1.0,1.0,1.0,1.0,0.91,1.0,24.89409901651732
107.0,26.032520735601942,26.534239668366453,26.635979203630693,26.534239668366453,26.534239668366453,25.771226399454314,26.534239668366453,1.0,1.0,1.0,1.0,1.0,0.87,1.0,24.89409901651732
108.0,25.848408347024304,26.377690772840644,26.493328510075198,26.377690772840644,26.377690772840644,25.576161012404345,26.377690772840644,1.0,1.0,1.0,1.0,1.0,0.8200000000000001,1.0,24.89409901651732
109.0,25.65364752599235,26.206286077483117,26.333866127369074,26.206286077483117,26.206286077483117,25.37220329478176,26.206286077483117,1.0,1.0,1.0,1.0,1.0,0.77,1.0,24.89409901651732
110.0,25.449862963177218,26.022174801850053,26.15998384684265,26.022174801850053,26.022174801850053,25.16075835384083,26.022174801850053,1.0,0.9500000000000001,1.0,0.9500000000000001,0.9500000000000001,0.72,0.9500000000000001,24.89409901651732
111.0,25.238476779121022,25.827239105249426,25.97377658762041,25.827239105249426,25.827239105249426,24.94305573032213,25.827239105249426,1.0,0.9,1.0,0.9,0.9,0.67,0.9,24.89409901651732
112.0,25.02073343002889,25.623126913020712,25.777078884204474,25.623126913020712,25.623126913020712,24.72017098768109,25.623126913020712,1.0,0.85,0.99,0.85,0.85,0.62,0.85,24.89409901651732
113.0,24.797721554704335,25.411280711267747,25.571496892879118,25.411280711267747,25.411280711267747,24.49335154399673,25.411280711267747,1.0,0.8,0.9400000000000001,0.8,0.8,0.5700000000000001,0.8,24.89409901651732
114.0,24.570393138276565,25.19296280514559,25.358436467254673,25.19296280514559,25.19296280514559,24.265122570595143,25.19296280514559,0.9500000000000001,0.75,0.89,0.75,0.75,0.52,0.75,24.89409901651732
115.0,24.339580322236365,24.969277475000784,25.139127785686775,24.969277475000784,24.969277475000784,24.037902827294086,24.969277475000784,0.9,0.7000000000000001,0.84,0.7000000000000001,0.7000000000000001,0.47000000000000003,0.7000000000000001,24.89409901651732
116.0,24.106010149830617,24.74119041132993,24.914646954024025,24.74119041132993,24.74119041132993,23.81368157375389,24.74119041132993,0.85,0.65,0.79,0.65,0.65,0.42,0.65,24.89409901651732
117.0,23.870317500368262,24.5095457627366,24.685934955134478,24.5095457627366,24.5095457627366,23.594700026146572,24.5095457627366,0.0,0.6,0.74,0.6,0.6,0.0,0.6,24.89409901651732
118.0,23.633056434852886,24.275081090027342,24.453814271045147,24.275081090027342,24.275081090027342,23.38310889335571,24.275081090027342,0.0,0.55,0.6900000000000001,0.55,0.55,0.0,0.55,24.89409901651732
119.0,23.394710148042996,24.039974954785524,24.219003463514046,24.039974954785524,24.039974954785524,23.180768615539087,24.039974954785524,0.0,0.0,0.64,0.0,0.0,0.0,0.0,24.89409901651732
120.0,23.155699698081534,23.80716697521861,23.982129963754232,23.80716697521861,23.80716697521861,22.989285260132775,23.80716697521861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
121.0,22.916391663818914,23.579208981933657,23.744048185478654,23.579208981933657,23.579208981933657,22.810042007231772,23.579208981933657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
122.0,22.677104861517716,23.358312895916878,23.506938652591227,23.358312895916878,23.358312895916878,22.64422676602086,23.358312895916878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
123.0,22.439650707652525,23.14639272437335,23.27353168349775,23.14639272437335,23.14639272437335,22.492856397408456,23.14639272437335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
124.0,22.2066469363677,22.945101396812095,23.046195618059762,22.945101396812095,22.945101396812095,22.356797959664323,22.945101396812095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
125.0,21.980363195271547,22.75586307504851,22.826981525058944,22.75586307504851,22.75586307504851,22.236787342676255,22.75586307504851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
126.0,21.78731558541024,22.579901492976926,22.617662416889576,22.579901492976926,22.579901492976926,22.14480069840264,22.579901492976926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
127.0,21.641155162589552,22.418264813704067,22.419767646047497,22.418264813704067,22.418264813704067,22.086062484313207,22.418264813704067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
128.0,21.53591268259817,22.287192143730184,22.234613075142825,22.287192143730184,22.287192143730184,22.056290083307953,22.287192143730184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
129.0,21.46635394740312,22.194338968518192,22.081434299626963,22.194338968518192,22.194338968518192,22.051728684800857,22.194338968518192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
130.0,21.427889517977178,22.134810506926726,21.969609512567317,22.134810506926726,22.134810506926726,22.069086448887592,22.134810506926726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
