evaluation,candidate_amplitude_c,candidate_process_gain_c_per_u,candidate_tau_minutes,candidate_delay_minutes,rmse_c,best_rmse_c,best_process_gain_c_per_u,best_tau_minutes,best_delay_minutes
14.0,6.618511340173933,55.154261168116115,909.7078182205454,5.000000000000386,0.380681048526226,0.380681048526226,55.154261168116115,909.7078182205454,5.000000000000386
15.0,6.61851124155043,55.15426034625359,909.7078317762482,5.000000000000386,0.380681048470317,0.380681048470317,55.15426034625359,909.7078317762482,5.000000000000386
16.0,6.61851124155043,55.15426034625359,909.7078182205454,5.000000074506192,0.38068104859268165,0.380681048470317,55.15426034625359,909.7078317762482,5.000000000000386
17.0,6.619516274185984,55.162635618216534,911.4635470840257,5.000000000000002,0.3806761340043939,0.3806761340043939,55.162635618216534,911.4635470840257,5.000000000000002
18.0,6.619516372824463,55.16263644020386,911.4635470840257,5.000000000000002,0.3806761340042812,0.3806761340042812,55.16263644020386,911.4635470840257,5.000000000000002
19.0,6.619516274185984,55.162635618216534,911.4635606658909,5.000000000000002,0.3806761339855733,0.3806761339855733,55.162635618216534,911.4635606658909,5.000000000000002
20.0,6.619516274185984,55.162635618216534,911.4635470840257,5.000000074505808,0.380676134069966,0.3806761339855733,55.162635618216534,911.4635606658909,5.000000000000002
21.0,6.619846844232113,55.16539036860094,912.0427009123033,5.000000000000001,0.3806756006063207,0.3806756006063207,55.16539036860094,912.0427009123033,5.000000000000001
22.0,6.619846942875517,55.165391190629315,912.0427009123033,5.000000000000001,0.3806756006063183,0.3806756006063183,55.165391190629315,912.0427009123033,5.000000000000001
23.0,6.619846844232113,55.16539036860094,912.0427145027986,5.000000000000001,0.3806756006001291,0.3806756006001291,55.16539036860094,912.0427145027986,5.000000000000001
24.0,6.619846844232113,55.16539036860094,912.0427009123033,5.000000074505807,0.3806756006719682,0.3806756006001291,55.16539036860094,912.0427145027986,5.000000000000001
25.0,6.619955469810763,55.16629558175636,912.2331967591592,5.000000000000001,0.3806755429473148,0.3806755429473148,55.16629558175636,912.2331967591592,5.000000000000001
26.0,6.6199555684557865,55.16629640379822,912.2331967591592,5.000000000000001,0.3806755429473245,0.3806755429473148,55.16629558175636,912.2331967591592,5.000000000000001
27.0,6.619955469810763,55.16629558175636,912.2332103524932,5.000000000000001,0.38067554294528033,0.38067554294528033,55.16629558175636,912.2332103524932,5.000000000000001
28.0,6.619955469810763,55.16629558175636,912.2331967591592,5.000000074505807,0.3806755430129872,0.38067554294528033,55.16629558175636,912.2332103524932,5.000000000000001
29.0,6.6199911535471045,55.166592946225876,912.2957952767564,5.000000000000001,0.38067553672294735,0.38067553672294735,55.166592946225876,912.2957952767564,5.000000000000001
30.0,6.61999125219266,55.16659376827217,912.2957952767564,5.000000000000001,0.38067553672295823,0.38067553672294735,55.166592946225876,912.2957952767564,5.000000000000001
31.0,6.6199911535471045,55.166592946225876,912.295808871023,5.000000000000001,0.38067553672227916,0.38067553672227916,55.166592946225876,912.295808871023,5.000000000000001
32.0,6.6199911535471045,55.166592946225876,912.2957952767564,5.000000074505807,0.3806755367886278,0.38067553672227916,55.166592946225876,912.295808871023,5.000000000000001
33.0,6.620002875008395,55.16669062506996,912.3163598249315,5.000000000000001,0.3806755360513337,0.3806755360513337,55.16669062506996,912.3163598249315,5.000000000000001
34.0,6.620002973654125,55.16669144711771,912.3163598249315,5.000000000000001,0.38067553605134474,0.3806755360513337,55.16669062506996,912.3163598249315,5.000000000000001
35.0,6.620002875008395,55.16669062506996,912.3163734195047,5.000000000000001,0.3806755360511145,0.3806755360511145,55.16669062506996,912.3163734195047,5.000000000000001
36.0,6.620002875008395,55.16669062506996,912.3163598249315,5.000000074505807,0.3806755361170169,0.3806755360511145,55.16669062506996,912.3163734195047,5.000000000000001
37.0,6.620006725125423,55.166722709378526,912.3231149421399,5.000000000000001,0.38067553597889225,0.38067553597889225,55.166722709378526,912.3231149421399,5.000000000000001
38.0,6.62000682377121,55.166723531426754,912.3231149421399,5.000000000000001,0.3806755359789033,0.38067553597889225,55.166722709378526,912.3231149421399,5.000000000000001
39.0,6.620006725125423,55.166722709378526,912.3231285368137,5.000000000000001,0.3806755359788205,0.3806755359788205,55.166722709378526,912.3231285368137,5.000000000000001
40.0,6.620006725125423,55.166722709378526,912.3231149421399,5.000000074505807,0.38067553604457627,0.3806755359788205,55.166722709378526,912.3231285368137,5.000000000000001
41.0,6.620007989866984,55.16673324889154,912.3253338940768,5.000000000000001,0.3806755359710842,0.3806755359710842,55.16673324889154,912.3253338940768,5.000000000000001
42.0,6.62000808851279,55.166734070939924,912.3253338940768,5.000000000000001,0.38067553597109527,0.3806755359710842,55.16673324889154,912.3253338940768,5.000000000000001
43.0,6.620007989866984,55.16673324889154,912.3253474887837,5.000000000000001,0.38067553597106085,0.38067553597106085,55.16673324889154,912.3253474887837,5.000000000000001
44.0,6.620007989866984,55.16673324889154,912.3253338940768,5.000000074505807,0.38067553603676857,0.38067553597106085,55.16673324889154,912.3253474887837,5.000000000000001
